Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Opel Insignia,Opel,2020,183336,Dizel,Avtomatski,170,12490,Pravna oseba
Renault Captur,Renault,,,Bencin,Avtomatski,140,Cena po dogovoru,Pravna oseba
Omoda 7,Omoda,,,Hibrid,Avtomatski,143,31990,Pravna oseba
Omoda 7,Omoda,,,Hibrid,Avtomatski,143,31990,Pravna oseba
Renault Captur,Renault,,,Bencin,Avtomatski,140,Cena po dogovoru,Pravna oseba
Renault Captur,Renault,,,Bencin,Avtomatski,140,Cena po dogovoru,Pravna oseba
Omoda 7,Omoda,,,Hibrid,Avtomatski,143,34990,Pravna oseba
Omoda 7,Omoda,,,Hibrid,Avtomatski,143,34990,Pravna oseba
Renault Trafic,Renault,2020,167000,Dizel,Ročni,145,27990,Fizična oseba
Ford Explorer,Ford,,30558,,Avtomatski,,38990,Pravna oseba
Mercedes-Benz GLA-Razred,Mercedes-Benz,2015,222275,Dizel,Avtomatski,136,13990,Pravna oseba
Nissan Leaf,Nissan,2018,54850,,Avtomatski,150,9900,Pravna oseba
Citroën C5 Aircross,Citroën,2023,111404,Hibrid,Avtomatski,181,18280,Pravna oseba
Ford Mustang,Ford,,12000,,Avtomatski,,51490,Pravna oseba
Renault Twingo,Renault,2022,35978,Bencin,Ročni,65,9700,Pravna oseba
Renault Mégane Conquest,Renault,2026,217,Hibrid,Avtomatski,94,24500,Pravna oseba
Toyota Corolla,Toyota,2020,148647,Hibrid,Avtomatski,152,17900,Pravna oseba
Renault Mégane,Renault,2018,168153,Bencin,Ročni,132,7500,Pravna oseba
Renault Captur,Renault,2022,23154,Bencin,Ročni,91,14500,Pravna oseba
Toyota Yaris,Toyota,2018,97884,Bencin,Ročni,111,10890,Pravna oseba
Renault Captur,Renault,2026,2028,Bencin,Ročni,116,20400,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,140,24000,Pravna oseba
Renault Clio,Renault,2026,9,Bencin,Ročni,91,17800,Pravna oseba
Toyota Yaris Cross,Toyota,2025,1863,Hibrid,Avtomatski,92,28500,Pravna oseba
Toyota Corolla,Toyota,2019,136866,Hibrid,Avtomatski,98,16800,Pravna oseba
Toyota Corolla,Toyota,2019,131027,Hibrid,Avtomatski,98,17900,Pravna oseba
Dacia Bigster,Dacia,2025,1985,Bencin,Ročni,140,25000,Pravna oseba
Renault Captur,Renault,2019,102392,Bencin,Ročni,90,10500,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,110,,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,110,,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,19390,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,19990,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,19890,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,20390,Pravna oseba
Renault Clio,Renault,2016,145086,Bencin,Ročni,90,7150,Pravna oseba
MG MG ZS,MG,,,Bencin,Avtomatski,116,,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,101,12900,Pravna oseba
MG MG HS,MG,,,Hibrid,Avtomatski,224,,Pravna oseba
MG MG ZS,MG,,,Hibrid,Avtomatski,197,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,148,,Pravna oseba
MG MG HS,MG,,,Bencin,Avtomatski,170,,Pravna oseba
MG MG3,MG,,,Bencin,Ročni,116,,Pravna oseba
Renault Captur,Renault,2020,127197,Dizel,Ročni,95,14150,Pravna oseba
MG MG ZS,MG,2023,99860,Bencin,Ročni,111,13000,Pravna oseba
Renault Mégane Conquest,Renault,,,Bencin,Avtomatski,94,,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,91,,Pravna oseba
Renault Mégane,Renault,2018,63900,Bencin,Ročni,101,7900,Pravna oseba
Dacia Sandero,Dacia,2026,1,Bencin,Ročni,110,17950,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,17800,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,91,,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,91,,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Ročni,140,,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Avtomatski,140,,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Avtomatski,140,,Pravna oseba
Renault Clio,Renault,2026,15,Bencin,Ročni,91,17500,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,,Pravna oseba
Renault Clio,Renault,,,Bencin,Avtomatski,114,,Pravna oseba
MG MG HS,MG,2025,4132,Bencin,Avtomatski,170,25850,Pravna oseba
Renault Captur,Renault,2025,9,Bencin,Ročni,90,21000,Pravna oseba
Renault Captur,Renault,2025,6,Bencin,Ročni,90,20300,Pravna oseba
Toyota C-HR,Toyota,2024,63024,Hibrid,Avtomatski,179,29990,Pravna oseba
Dacia Bigster,Dacia,,,Bencin,Ročni,140,,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,131,,Pravna oseba
Dacia Duster,Dacia,,,Plin,Ročni,122,,Pravna oseba
Hyundai Tucson,Hyundai,2024,22619,Bencin,Avtomatski,150,25500,Pravna oseba
Toyota C-HR,Toyota,2024,11,Hibrid,Avtomatski,223,34500,Pravna oseba
Toyota C-HR,Toyota,2024,16374,Hibrid,Avtomatski,223,33500,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,140,,Pravna oseba
Renault 5 E-tech,Renault,,,,Avtomatski,122,28500,Pravna oseba
Renault 5 E-tech,Renault,,,,Avtomatski,122,28990,Pravna oseba
Mitsubishi ASX,Mitsubishi,2016,192179,Dizel,Ročni,114,9900,Pravna oseba
Nissan X-Trail,Nissan,2021,101321,Dizel,Avtomatski,150,21890,Pravna oseba
Renault Clio,Renault,2023,21902,Hibrid,Avtomatski,145,20500,Pravna oseba
Renault Austral,Renault,2023,6765,Hibrid,Avtomatski,200,32000,Pravna oseba
KIA Sportage,KIA,,,Bencin,Ročni,150,,Pravna oseba
KIA Ceed,KIA,,,Bencin,Ročni,101,,Pravna oseba
Volkswagen Golf,Volkswagen,,,Bencin,Ročni,116,26338,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
Peugeot 2008,Peugeot,2020,44662,Bencin,Ročni,131,13300,Fizična oseba
Renault Captur,Renault,,,Bencin,Ročni,116,20970,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2024,50900,Bencin,Avtomatski,136,24990,Pravna oseba
Volkswagen T-Cross,Volkswagen,,,Bencin,Ročni,116,25777,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,Cena po dogovoru,Pravna oseba
KIA Stonic,KIA,2025,3168,Bencin,Avtomatski,101,21900,Pravna oseba
Peugeot 308,Peugeot,2015,219000,Dizel,Ročni,99,5000,Fizična oseba
Volvo V90,Volvo,,144261,Hibrid,Avtomatski,392,29990,Pravna oseba
BMW Serija 3,BMW,2015,188000,Dizel,Avtomatski,190,13300,Fizična oseba
BMW Serija 2,BMW,2025,7800,Dizel,Avtomatski,150,39900,Pravna oseba
Citroën Spacetourer,Citroën,,,Dizel,Avtomatski,179,42990,Pravna oseba
Volkswagen Tiguan,Volkswagen,2013,194928,Dizel,Avtomatski,177,11960,Pravna oseba
BMW Serija 5,BMW,2025,19646,Dizel,Avtomatski,286,75990,Pravna oseba
MINI One,MINI,2021,132000,Bencin,Ročni,102,15750,Pravna oseba
BMW Serija 3,BMW,2015,288000,Dizel,Ročni,143,10500,Fizična oseba
Volkswagen Golf,Volkswagen,2019,147473,Dizel,Avtomatski,150,14950,Pravna oseba
Renault Clio,Renault,,,Bencin,Avtomatski,114,Cena po dogovoru,Pravna oseba
Mercedes-Benz GLE Coupe,Mercedes-Benz,2020,80900,Dizel,Avtomatski,258,47777,Pravna oseba
Audi Q3,Audi,2022,85214,Dizel,Avtomatski,150,25960,Pravna oseba
BMW Serija 3,BMW,2024,59800,Dizel,Avtomatski,190,42880,Pravna oseba
Abarth -,Abarth,2012,165959,Bencin,Ročni,135,Cena po dogovoru,Pravna oseba
Citroën C3,Citroën,,,Bencin,Ročni,101,21360,Pravna oseba
Citroën Berlingo,Citroën,,,Dizel,Ročni,131,28750,Pravna oseba
Škoda Octavia,Škoda,2016,214000,Dizel,Avtomatski,110,9300,Fizična oseba
Volkswagen Golf,Volkswagen,2013,148000,Dizel,Ročni,105,7500,Fizična oseba
Volvo XC60,Volvo,2023,99400,Dizel,Avtomatski,197,,Pravna oseba
Renault Twingo,Renault,2002,260359,Bencin,Ročni,58,Cena po dogovoru,Pravna oseba
Renault Mégane,Renault,2023,53518,Bencin,Ročni,140,17870,Pravna oseba
Audi A4,Audi,2014,308000,Dizel,Ročni,150,7500,Fizična oseba
BMW Serija 5,BMW,2025,12757,Hibrid,Avtomatski,190,65990,Pravna oseba
BMW Serija 2,BMW,2025,13255,Bencin,Avtomatski,156,39990,Pravna oseba
BMW Serija 2,BMW,2025,9930,Bencin,Avtomatski,136,28990,Pravna oseba
Toyota RAV4,Toyota,2005,1,Bencin,Ročni,125,Cena po dogovoru,Pravna oseba
Dacia Dokker,Dacia,2013,156903,Bencin,Ročni,116,Cena po dogovoru,Pravna oseba
Audi A3,Audi,2017,183115,Dizel,Ročni,110,11900,Pravna oseba
BMW i5 Touring,BMW,2025,12757,Hibrid,Avtomatski,299,65990,Pravna oseba
BMW Serija 2,BMW,2025,9948,Bencin,Avtomatski,136,30990,Pravna oseba
BMW Serija 2,BMW,2025,13378,Bencin,Avtomatski,156,42990,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2017,142191,Dizel,Avtomatski,204,22900,Pravna oseba
Mitsubishi Outlander,Mitsubishi,2008,259528,Dizel,Ročni,140,4950,Pravna oseba
KIA Stonic,KIA,2026,500,Bencin,Ročni,101,,Pravna oseba
KIA Sportage,KIA,2026,2203,Bencin,Avtomatski,150,,Pravna oseba
Volvo V50,Volvo,2009,245110,Dizel,Ročni,109,2990,Pravna oseba
Citroën C3,Citroën,2020,47788,Bencin,Ročni,83,7990,Pravna oseba
Peugeot 2008,Peugeot,,,Hibrid,,102,20960,Pravna oseba
Renault Clio,Renault,2018,98100,Bencin,Ročni,73,7099,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
BMW Serija 2,BMW,2024,77674,Bencin,Avtomatski,140,27490,Pravna oseba
Peugeot 308,Peugeot,2022,125875,Dizel,Avtomatski,131,16900,Pravna oseba
Citroën C3,Citroën,2022,45000,Bencin,Ročni,83,,Pravna oseba
BMW Serija 7,BMW,2020,209000,Dizel,Avtomatski,265,,Pravna oseba
Volkswagen Passat,Volkswagen,2019,194000,Dizel,Avtomatski,150,,Pravna oseba
BMW Serija 2,BMW,2017,162000,Bencin,Ročni,136,,Pravna oseba
Forthing Forthing T5 EVO,Forthing,2024,31500,Bencin,Avtomatski,177,,Pravna oseba
Nissan Leaf,Nissan,2021,93627,,Avtomatski,218,,Pravna oseba
Opel Combo,Opel,2020,86443,Dizel,Ročni,131,14360,Pravna oseba
Volkswagen Polo,Volkswagen,,,Bencin,Avtomatski,95,19497,Pravna oseba
Peugeot 308,Peugeot,2024,30786,Bencin,Avtomatski,131,19100,Pravna oseba
Peugeot 2008,Peugeot,2024,29601,Bencin,Avtomatski,131,18850,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
Alfa Romeo Giulia,Alfa,2022,24300,Bencin,Avtomatski,510,65990,Pravna oseba
Fiat Tipo,Fiat,2017,145484,Dizel,Ročni,95,6690,Pravna oseba
Geely Cityray,Geely,2025,5347,Bencin,Avtomatski,174,23990,Pravna oseba
KIA Sportage,KIA,,,Hibrid,Avtomatski,179,38299,Pravna oseba
Fiat 500X,Fiat,2022,71609,Bencin,Avtomatski,150,15900,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,101,20849,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,110,18900,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,17090,Pravna oseba
Fiat Grande Panda,Fiat,,,Bencin,Ročni,101,17600,Pravna oseba
Fiat 600,Fiat,,,Bencin,Avtomatski,145,25580,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,19250,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,17090,Pravna oseba
KIA Picanto,KIA,,,Bencin,Ročni,68,15149,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,19250,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,17090,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,18540,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,17090,Pravna oseba
Fiat Grande Panda,Fiat,,,Hibrid,Avtomatski,101,18900,Pravna oseba
Fiat Panda,Fiat,,,Bencin,Ročni,65,12990,Pravna oseba
Fiat Tipo,Fiat,2022,46750,Bencin,Ročni,99,11990,Pravna oseba
KG Mobility Korando,KG,,,Bencin,Ročni,163,,Pravna oseba
KIA Sportage,KIA,,,Hibrid,Avtomatski,179,,Pravna oseba
KG Mobility Torres,KG,,,Bencin,Avtomatski,163,,Pravna oseba
KG Mobility Korando,KG,,,Bencin,Avtomatski,163,,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
KG Mobility Tivoli,KG,,,Bencin,Ročni,163,,Pravna oseba
Geely StarRay EM-i,Geely,,,Hibrid,Avtomatski,99,,Pravna oseba
KG Mobility Torres,KG,,,Hibrid,Avtomatski,150,29999,Pravna oseba
KG Mobility Korando,KG,,,Bencin,Ročni,163,23499,Pravna oseba
KG Mobility Korando,KG,,,Bencin,Ročni,163,21999,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
Geely StarRay,Geely,2025,17672,Bencin,Avtomatski,174,25000,Pravna oseba
Geely StarRay,Geely,,,Bencin,Avtomatski,238,,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KG Mobility Torres,KG,,,Bencin,Avtomatski,163,27999,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA XCeed,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Ročni,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Ročni,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Ročni,150,,Pravna oseba
KIA Sportage,KIA,,,Bencin,Ročni,150,,Pravna oseba
KIA Ceed,KIA,,,Bencin,Ročni,101,19849,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
KG Mobility Torres,KG,,,,Avtomatski,207,34990,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
Geely StarRay EM-i,Geely,,,Bencin,Avtomatski,303,,Pravna oseba
KIA Ceed,KIA,,,Bencin,Ročni,101,21449,Pravna oseba
KG Mobility Tivoli,KG,,,Bencin,Ročni,163,,Pravna oseba
KIA Ceed,KIA,,,Bencin,Ročni,101,21449,Pravna oseba
Geely StarRay EM-i,Geely,,,Bencin,Avtomatski,317,,Pravna oseba
KG Mobility Korando,KG,,,Bencin,Ročni,163,,Pravna oseba
Jeep Compass,Jeep,,,Bencin,Avtomatski,145,34880,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,101,22999,Pravna oseba
KIA Stonic,KIA,,,Bencin,Avtomatski,101,21849,Pravna oseba
KIA Stonic,KIA,,,Bencin,Avtomatski,116,28849,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,101,18849,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,79,16649,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,79,16649,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,79,16649,Pravna oseba
KIA Stonic,KIA,,,Bencin,Ročni,79,16649,Pravna oseba
MINI Countryman,MINI,2018,188000,Dizel,Avtomatski,150,14490,Pravna oseba
Geely Cityray,Geely,,,Bencin,Avtomatski,174,,Pravna oseba
Jeep Avenger,Jeep,,,Bencin,Avtomatski,136,27640,Pravna oseba
Jeep Avenger,Jeep,,,Bencin,Avtomatski,136,27880,Pravna oseba
Jeep Avenger,Jeep,,,Bencin,Avtomatski,101,22940,Pravna oseba
Jeep Avenger,Jeep,,,Bencin,Avtomatski,101,23790,Pravna oseba
Jeep Avenger,Jeep,,,Bencin,Avtomatski,101,23790,Pravna oseba
Geely StarRay,Geely,,,Bencin,Avtomatski,238,,Pravna oseba
Fiat 850,Fiat,1976,27495,Bencin,Ročni,37,15000,Pravna oseba
Fiat Punto,Fiat,1997,163184,Bencin,Ročni,88,6000,Pravna oseba
KIA Ceed,KIA,,,Bencin,Ročni,101,21449,Pravna oseba
KIA EV3,KIA,,,,Avtomatski,204,34279,Pravna oseba
MG MG CYBERSTER,MG,2025,29012,,Avtomatski,340,54770,Pravna oseba
Peugeot 2008,Peugeot,2024,33116,Bencin,Avtomatski,131,18850,Pravna oseba
Fiat 500C,Fiat,2023,42633,Bencin,Ročni,71,Cena po dogovoru,Pravna oseba
Volkswagen Tiguan,Volkswagen,2016,259000,Dizel,Avtomatski,150,14790,Pravna oseba
Volkswagen Polo,Volkswagen,2015,178100,Bencin,Ročni,60,6880,Pravna oseba
Volkswagen Golf,Volkswagen,2016,242100,Dizel,Ročni,110,8880,Pravna oseba
Volkswagen Golf,Volkswagen,2017,244150,Dizel,Ročni,90,8880,Pravna oseba
Volkswagen Golf,Volkswagen,2017,163200,Bencin,Ročni,110,9880,Pravna oseba
Seat Ibiza,Seat,2017,172400,Bencin,Ročni,95,10880,Pravna oseba
Renault Clio,Renault,2017,39620,Bencin,Avtomatski,220,17880,Pravna oseba
Peugeot 108,Peugeot,2014,140100,Bencin,Ročni,69,5980,Pravna oseba
Opel Mokka,Opel,2013,94120,Bencin,Ročni,116,7980,Pravna oseba
Opel Adam,Opel,2014,131500,Bencin,Ročni,87,6880,Pravna oseba
Opel Astra,Opel,2015,158200,Bencin,Ročni,105,5880,Pravna oseba
Hyundai i10,Hyundai,2014,116500,Bencin,Ročni,65,7980,Pravna oseba
Fiat 500,Fiat,2008,184500,Bencin,Ročni,135,8880,Pravna oseba
DS DS 7 Crossback,DS,2020,148000,Dizel,Avtomatski,131,18880,Pravna oseba
BMW Serija 5,BMW,2023,32400,Bencin,Avtomatski,184,38880,Pravna oseba
Opel Astra,Opel,2015,182997,Dizel,Ročni,110,5430,Pravna oseba
Volkswagen -,Volkswagen,,,,Avtomatski,170,,Pravna oseba
Volkswagen -,Volkswagen,,,,Avtomatski,170,,Pravna oseba
Volkswagen Tiguan,Volkswagen,,,Dizel,Avtomatski,150,46342,Pravna oseba
Volkswagen Tiguan,Volkswagen,,,Dizel,Avtomatski,150,46198,Pravna oseba
Volkswagen Taigo,Volkswagen,,,Bencin,Ročni,116,,Pravna oseba
Volkswagen Tiguan,Volkswagen,,,Dizel,Avtomatski,150,46198,Pravna oseba
Cupra Formentor,Cupra,2022,89000,Bencin,Avtomatski,150,22300,Fizična oseba
Škoda Octavia,Škoda,2022,108000,Bencin,Avtomatski,150,18900,Fizična oseba
IVECO Kiper,IVECO,2016,187966,Dizel,Ročni,126,16990,Pravna oseba
Suzuki Swift,Suzuki,2014,133000,Bencin,Ročni,136,10490,Pravna oseba
KIA Sportage,KIA,2012,215000,Dizel,Ročni,136,7000,Fizična oseba
Renault Clio,Renault,2026,1000,Bencin,Avtomatski,114,Cena po dogovoru,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Ročni,140,24540,Pravna oseba
BMW serija 5,BMW,,78414,Hibrid,Avtomatski,252,27990,Pravna oseba
Hyundai i30,Hyundai,2017,57125,Bencin,Ročni,99,10950,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,,Pravna oseba
Alfa Romeo Alfa 156,Alfa,2004,146000,Bencin,Ročni,250,18500,Fizična oseba
Audi A6,Audi,2014,302220,Dizel,Avtomatski,204,10500,Pravna oseba
BMW Serija 3,BMW,2016,228000,Dizel,Avtomatski,190,16320,Fizična oseba
BMW X4,BMW,2023,122111,Dizel,Avtomatski,190,39990,Pravna oseba
Volkswagen Passat,Volkswagen,2010,379099,Dizel,Avtomatski,140,2400,Pravna oseba
Volkswagen Touran,Volkswagen,2012,317668,Dizel,Ročni,105,,Pravna oseba
Ford Mondeo,Ford,2007,275000,Dizel,Ročni,131,,Pravna oseba
Opel Corsa,Opel,2013,160000,Bencin,Ročni,101,,Pravna oseba
KIA Ceed,KIA,2014,190000,Bencin,Ročni,99,,Pravna oseba
Lexus IS,Lexus,2008,302000,Dizel,Ročni,177,,Pravna oseba
Opel Corsa,Opel,2009,160000,Bencin,Ročni,80,,Pravna oseba
Peugeot 2008,Peugeot,2015,144000,Bencin,Ročni,110,,Pravna oseba
Audi e-tron,Audi,2019,159000,,Avtomatski,313,19990,Pravna oseba
BMW Serija 5,BMW,2018,199000,Dizel,Avtomatski,190,,Pravna oseba
BMW Serija 5,BMW,2018,199000,Dizel,Avtomatski,190,19990,Pravna oseba
Ford Tourneo,Ford,2018,139000,Dizel,Avtomatski,170,26990,Pravna oseba
Citroën C4,Citroën,2014,1,Dizel,Avtomatski,116,,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2024,109887,Dizel,Avtomatski,150,37990,Pravna oseba
Audi Q7,Audi,2018,1,Dizel,Avtomatski,272,27490,Pravna oseba
Peugeot 407,Peugeot,2005,277772,Bencin,Ročni,136,,Pravna oseba
Opel Corsa,Opel,2007,177000,Bencin,Ročni,80,,Pravna oseba
Mercedes-Benz S-Razred,Mercedes-Benz,1993,226000,Bencin,Avtomatski,197,,Pravna oseba
Volkswagen Caddy,Volkswagen,2017,363636,Dizel,Ročni,102,,Pravna oseba
KIA Ceed,KIA,2019,144000,Bencin,Ročni,120,,Pravna oseba
Renault Mégane,Renault,2009,256000,Dizel,Ročni,131,,Pravna oseba
KIA Sportage,KIA,2013,277000,Dizel,Ročni,116,,Pravna oseba
Volkswagen Golf,Volkswagen,2014,275000,Dizel,Ročni,150,7490,Pravna oseba
MINI Cooper,MINI,2012,213000,Dizel,Ročni,90,,Pravna oseba
KIA Ceed,KIA,2009,262100,Bencin,Ročni,109,790,Pravna oseba
Audi R8,Audi,2016,146780,Bencin,Avtomatski,610,89990,Pravna oseba
Audi A4,Audi,2011,422000,Dizel,Ročni,143,3980,Pravna oseba
Volkswagen Passat,Volkswagen,2006,345678,Dizel,Ročni,140,,Pravna oseba
Renault Mégane,Renault,2010,230000,Bencin,Ročni,250,11000,Pravna oseba
Citroën Dyane,Citroën,1977,23000,Bencin,Ročni,30,,Pravna oseba
Ford Fusion,Ford,2007,134000,Bencin,Ročni,101,,Pravna oseba
Renault Mégane,Renault,2012,190000,Bencin,Ročni,110,850,Pravna oseba
Ford Focus,Ford,2013,283000,Dizel,Ročni,116,2490,Pravna oseba
Mazda Mazda2,Mazda,2010,167000,Bencin,Ročni,75,2650,Pravna oseba
Volkswagen Golf,Volkswagen,2006,225000,Bencin,Ročni,80,,Pravna oseba
Nissan Micra,Nissan,2008,137000,Bencin,Ročni,80,,Pravna oseba
Peugeot 207,Peugeot,2010,200000,Bencin,Ročni,95,,Pravna oseba
Peugeot 2008,Peugeot,2019,79000,Bencin,Ročni,83,8690,Pravna oseba
Volkswagen Golf,Volkswagen,2015,1,Dizel,Avtomatski,110,6990,Pravna oseba
BMW Serija 2,BMW,2020,94000,Dizel,Avtomatski,150,14990,Pravna oseba
Volkswagen Passat,Volkswagen,2015,245000,Dizel,Ročni,150,8990,Pravna oseba
Volkswagen Touran,Volkswagen,2013,1,Dizel,Avtomatski,105,5990,Pravna oseba
Peugeot RCZ,Peugeot,2010,199987,Bencin,Ročni,156,4490,Pravna oseba
BMW Serija 3,BMW,2021,177000,Dizel,Avtomatski,340,,Pravna oseba
BMW Serija 2,BMW,2017,99051,Bencin,Ročni,102,13990,Pravna oseba
Škoda Octavia,Škoda,2004,263000,Dizel,Ročni,105,1790,Pravna oseba
Opel Astra,Opel,2017,188000,Dizel,Avtomatski,136,,Pravna oseba
Citroën DS3,Citroën,2010,298000,Dizel,Ročni,92,,Pravna oseba
Mazda Mazda6,Mazda,2010,258000,Bencin,Ročni,147,,Pravna oseba
Audi A6,Audi,2011,300000,Bencin,Ročni,170,,Pravna oseba
Škoda Octavia,Škoda,2010,285014,Dizel,Ročni,105,2990,Pravna oseba
Peugeot 5008,Peugeot,2010,287440,Dizel,Ročni,109,2300,Pravna oseba
Volvo V40,Volvo,2016,303030,Dizel,Ročni,120,,Pravna oseba
KIA Sportage,KIA,2017,322533,Dizel,Ročni,116,,Pravna oseba
KIA Ceed,KIA,2013,171494,Bencin,Ročni,99,4900,Pravna oseba
Suzuki Swift,Suzuki,2008,225423,Bencin,Ročni,92,1650,Pravna oseba
Volkswagen Golf,Volkswagen,2019,159000,Dizel,Ročni,116,11990,Pravna oseba
BMW Serija 5,BMW,2023,143000,Dizel,Avtomatski,190,34990,Pravna oseba
BMW Serija 5,BMW,2021,169000,Dizel,Avtomatski,286,,Pravna oseba
BMW Serija 5,BMW,2022,179000,Dizel,Avtomatski,286,31990,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2017,168000,Dizel,Avtomatski,194,19990,Pravna oseba
Volkswagen Caravelle,Volkswagen,2019,199815,Dizel,Ročni,150,24990,Pravna oseba
Audi A4 Allroad,Audi,2015,199560,Dizel,Avtomatski,190,,Pravna oseba
BMW Serija 4,BMW,2015,215000,Dizel,Avtomatski,190,15990,Pravna oseba
Audi A4,Audi,2018,1,Dizel,Ročni,122,14990,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2022,142000,Dizel,Avtomatski,150,30990,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2007,323232,Dizel,Ročni,109,,Pravna oseba
Peugeot Expert,Peugeot,2009,315882,Dizel,Ročni,120,3490,Pravna oseba
Opel Astra,Opel,2020,122838,Dizel,Ročni,105,7490,Pravna oseba
Opel Corsa,Opel,2008,193000,Bencin,Ročni,90,,Pravna oseba
Peugeot 308,Peugeot,2016,280000,Dizel,Ročni,120,,Pravna oseba
Hyundai i20,Hyundai,2013,94000,Bencin,Ročni,84,,Pravna oseba
Volkswagen Eos,Volkswagen,2008,322863,Dizel,Ročni,140,1990,Pravna oseba
Volkswagen Touran,Volkswagen,2010,441000,Bencin,Ročni,102,,Pravna oseba
