Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
BMW X3,BMW,2022,101000,Dizel,Avtomatski,190,,Pravna oseba
BMW X3,BMW,2023,114607,Dizel,Avtomatski,190,,Pravna oseba
BMW X1,BMW,2025,3699,Bencin,Avtomatski,156,,Pravna oseba
Opel Insignia,Opel,2022,129000,Dizel,Avtomatski,174,,Pravna oseba
Opel Grandland X,Opel,2021,1,Bencin,Ročni,131,,Pravna oseba
Opel Crossland X,Opel,2019,100000,Bencin,Ročni,83,,Pravna oseba
Mercedes-Benz S-Razred,Mercedes-Benz,2019,145421,Dizel,Avtomatski,286,,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2020,144559,Dizel,Avtomatski,150,,Pravna oseba
Mercedes-Benz GLA-Razred,Mercedes-Benz,2021,49000,Hibrid,Avtomatski,160,,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2021,73727,Dizel,Avtomatski,330,,Pravna oseba
Hyundai i30,Hyundai,2018,87000,Bencin,Ročni,99,,Pravna oseba
Citroën C4 Grand Picasso,Citroën,2018,152931,Dizel,Ročni,150,,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2022,8460,Dizel,Avtomatski,200,,Pravna oseba
Volkswagen ID.3,Volkswagen,2022,99291,,Avtomatski,204,,Pravna oseba
Citroën C3 Aircross,Citroën,2020,151820,Bencin,Ročni,110,,Pravna oseba
Audi A4,Audi,2021,148138,Dizel,Avtomatski,136,,Pravna oseba
Renault Mégane Conquest,Renault,,,Hibrid,Avtomatski,143,22820,Pravna oseba
Renault Captur,Renault,,,Bencin,Avtomatski,140,23880,Pravna oseba
Renault Clio,Renault,,,Bencin,Avtomatski,114,20990,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,148,32800,Pravna oseba
Renault Scénic,Renault,2020,124720,Dizel,Ročni,120,,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,116,18150,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,Cena po dogovoru,Pravna oseba
KIA Sportage,KIA,2022,153411,Hibrid,Avtomatski,230,,Pravna oseba
Jaguar E-PACE,Jaguar,2018,44493,Dizel,Avtomatski,179,,Pravna oseba
Honda HR-V,Honda,2016,141365,Dizel,Ročni,120,,Pravna oseba
Seat Leon,Seat,2022,80000,Dizel,Avtomatski,150,,Pravna oseba
Ford Kuga,Ford,2022,150171,Hibrid,Avtomatski,190,,Pravna oseba
Ford Kuga,Ford,2022,113232,Dizel,Ročni,120,,Pravna oseba
Volvo V90 Cross Country,Volvo,2023,146119,Dizel,Avtomatski,197,,Pravna oseba
Renault Mégane,Renault,2019,171042,Dizel,Ročni,116,,Pravna oseba
Renault Austral,Renault,2025,15500,Bencin,Avtomatski,158,,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,110,15100,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,101,12750,Pravna oseba
Nissan Qashqai,Nissan,2014,117191,Dizel,Ročni,131,,Pravna oseba
Audi e-tron,Audi,2022,84441,,Avtomatski,313,,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,91,12999,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,140,22499,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,131,23200,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Ročni,131,23200,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,91,14550,Pravna oseba
Renault Mégane,Renault,2015,142000,Dizel,Ročni,95,5300,Fizična oseba
Dacia Bigster,Dacia,,,Bencin,Ročni,140,25000,Pravna oseba
Dacia Bigster,Dacia,,,Hibrid,Ročni,140,22820,Pravna oseba
Dacia Bigster,Dacia,,,Bencin,Ročni,131,28240,Pravna oseba
Dacia Bigster,Dacia,,,Hibrid,Avtomatski,156,30350,Pravna oseba
Citroën C4 Grand SpaceTourer,Citroën,2021,150055,Dizel,Ročni,131,,Pravna oseba
Volkswagen Golf,Volkswagen,2017,190238,Dizel,Ročni,116,8999,Pravna oseba
Renault Kangoo,Renault,2022,122703,Bencin,Ročni,102,,Pravna oseba
Renault Kadjar,Renault,2016,149367,Dizel,Ročni,110,,Pravna oseba
Seat Ateca,Seat,2023,94507,Dizel,Ročni,116,,Pravna oseba
Seat Ateca,Seat,2022,129030,Bencin,Avtomatski,150,,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,Cena po dogovoru,Pravna oseba
Škoda Kamiq,Škoda,2023,51707,Bencin,Ročni,95,,Pravna oseba
Tesla Model S,Tesla,2018,145999,,Avtomatski,525,,Pravna oseba
Volkswagen Tiguan,Volkswagen,2020,132536,Dizel,Avtomatski,150,,Pravna oseba
Volkswagen Golf,Volkswagen,2021,53774,Bencin,Ročni,131,,Pravna oseba
Volkswagen Golf,Volkswagen,2016,75883,Bencin,Ročni,110,,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,18990,Pravna oseba
Renault Kangoo,Renault,2022,123475,Dizel,Ročni,95,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,158,30150,Pravna oseba
Audi e-tron GT,Audi,2023,184865,,Avtomatski,476,39999,Pravna oseba
Renault Austral,Renault,2023,136527,Hibrid,Avtomatski,200,,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2023,31213,Dizel,Avtomatski,220,,Pravna oseba
Mercedes-Benz GLA-Razred,Mercedes-Benz,2019,112249,Bencin,Avtomatski,122,,Pravna oseba
Peugeot 5008,Peugeot,2021,146209,Dizel,Avtomatski,131,,Pravna oseba
Volkswagen Tiguan,Volkswagen,2013,179000,Dizel,Ročni,110,,Pravna oseba
Volkswagen Passat,Volkswagen,2025,26021,Bencin,Avtomatski,150,,Pravna oseba
BMW Serija 1,BMW,2020,118595,Dizel,Avtomatski,116,,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2020,101060,Dizel,Avtomatski,150,,Pravna oseba
Opel Zafira,Opel,2016,120302,Bencin,Ročni,140,,Pravna oseba
Peugeot Partner,Peugeot,2011,290800,Dizel,Ročni,92,,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2017,104000,Bencin,Ročni,156,,Pravna oseba
Volkswagen T-Roc,Volkswagen,2020,100280,Dizel,Avtomatski,150,,Pravna oseba
Mercedes-Benz EQB-Razred,Mercedes-Benz,2024,52609,,Avtomatski,190,,Pravna oseba
Peugeot 308,Peugeot,2016,205678,Dizel,Ročni,99,,Pravna oseba
Ford Tourneo Connect,Ford,2019,127923,Dizel,Avtomatski,120,14499,Pravna oseba
Toyota Corolla,Toyota,2022,118013,Hibrid,Avtomatski,98,,Pravna oseba
BMW X2,BMW,2019,147844,Bencin,Ročni,140,,Pravna oseba
Ford C-MAX,Ford,2016,160366,Dizel,Ročni,120,,Pravna oseba
Dacia Duster,Dacia,,,Bencin,Avtomatski,109,24199,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2022,158108,Dizel,Avtomatski,200,,Pravna oseba
Škoda Kodiaq,Škoda,2023,133953,Dizel,Avtomatski,150,,Pravna oseba
BMW Serija 3,BMW,2023,67000,Dizel,Avtomatski,286,,Pravna oseba
Audi Q4,Audi,2023,46970,,Avtomatski,265,,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,Cena po dogovoru,Pravna oseba
Renault Megane E-tech,Renault,2022,105307,,Avtomatski,218,,Pravna oseba
Renault Captur,Renault,2020,125965,Bencin,Ročni,101,,Pravna oseba
Peugeot 3008,Peugeot,2021,129700,Dizel,Avtomatski,131,,Pravna oseba
Peugeot 2008,Peugeot,2021,45501,Bencin,Ročni,131,13499,Pravna oseba
Citroën C3,Citroën,2024,20086,Bencin,Ročni,83,10999,Pravna oseba
Peugeot 2008,Peugeot,2021,53500,Bencin,Ročni,101,12499,Pravna oseba
Seat Arona,Seat,2020,146415,Bencin,Ročni,95,8990,Pravna oseba
BMW Serija 2,BMW,2017,199093,Dizel,Avtomatski,150,9150,Pravna oseba
Audi Q3 Sportback,Audi,2022,67364,Dizel,Avtomatski,150,29490,Pravna oseba
Renault Captur,Renault,2019,59930,Bencin,Ročni,90,9550,Pravna oseba
Renault Captur,Renault,2017,68774,Bencin,Ročni,120,9750,Pravna oseba
Hyundai i30,Hyundai,2020,114628,Bencin,Ročni,120,9950,Pravna oseba
Citroën C4,Citroën,2021,113942,Dizel,Ročni,110,11990,Pravna oseba
Hyundai i20,Hyundai,2021,108607,Bencin,Ročni,101,12190,Pravna oseba
KIA Sportage,KIA,2017,45466,Bencin,Ročni,132,13290,Pravna oseba
Suzuki Swift,Suzuki,2019,51899,Bencin,Ročni,90,13390,Pravna oseba
Škoda Kamiq,Škoda,2021,162476,Bencin,Ročni,150,13950,Pravna oseba
Mercedes-Benz GLA-Razred,Mercedes-Benz,2021,167815,Bencin,Avtomatski,163,23990,Pravna oseba
